inst	m	l	greedy	grasp	ag
0	200	15	25764	23608	20522
1	200	15	25155	23734	20690
2	200	15	25660	23285	20274
3	200	15	25393	23345	20380
4	200	15	26328	23320	20392
5	200	15	26003	23909	20861
6	200	15	25525	23469	20510
7	200	15	25132	23570	20527
8	200	15	26482	23457	20468
9	200	15	26266	23547	20582
10	200	15	25797	23818	20769
11	200	15	26105	23391	20487
12	200	15	25398	23442	20378
13	200	15	25007	23203	20256
14	200	15	23828	22976	20114
15	200	15	25870	23371	20457
16	200	15	25337	23097	20153
17	200	15	24776	22918	19945
18	200	15	26073	23360	20362
19	200	15	25714	23560	20592
20	200	15	25628	23769	20730
21	200	15	24948	23691	20671
22	200	15	25275	23453	20551
23	200	15	25550	23701	20697
24	200	15	26410	23562	20535
25	200	15	24904	23392	20402
26	200	15	24963	23754	20840
27	200	15	25099	22822	19868
28	200	15	26519	23149	20184
29	200	15	25799	23901	20847
30	200	15	25256	23756	20779
31	200	15	25731	23889	20811
32	200	15	25106	23243	20359
33	200	15	25384	24051	20953
34	200	15	24763	23766	20671
35	200	15	25653	23059	20039
36	200	15	25179	23851	20817
37	200	15	25728	23754	20741
38	200	15	25379	23628	20592
39	200	15	24924	23549	20633
40	200	15	27069	23216	20130
41	200	15	26526	23832	20840
42	200	15	24257	23487	20510
43	200	15	25416	23580	20472
44	200	15	25423	23294	20307
45	200	15	25407	23157	20156
46	200	15	25016	23335	20353
47	200	15	26534	23221	20246
48	200	15	24639	23444	20473
49	200	15	25721	23554	20499
50	200	15	25152	23339	20513
51	200	15	25756	23554	20579
52	200	15	25447	24131	21048
53	200	15	25468	23604	20475
54	200	15	25373	23242	20334
55	200	15	25862	23550	20551
56	200	15	25776	23542	20451
57	200	15	26052	23949	20888
58	200	15	26098	23495	20451
59	200	15	26496	23518	20535
60	200	15	25901	23388	20439
61	200	15	24864	23540	20592
62	200	15	25698	23246	20371
63	200	15	25005	23539	20572
64	200	15	25818	23635	20766
65	200	15	26247	23772	20831
66	200	15	25442	23986	20889
67	200	15	25652	23436	20456
68	200	15	26037	23622	20519
69	200	15	25411	23303	20385
70	200	15	25101	23601	20573
71	200	15	25743	23630	20578
72	200	15	25533	23421	20478
73	200	15	25593	23330	20399
74	200	15	25273	23342	20374
75	200	15	25967	23475	20406
76	200	15	25140	23549	20551
77	200	15	26178	23277	20323
78	200	15	25768	23679	20748
79	200	15	26289	23317	20308
80	200	15	25552	22919	19944
81	200	15	25513	23448	20459
82	200	15	25276	23778	20755
83	200	15	25458	23790	20755
84	200	15	25361	23436	20499
85	200	15	24944	23267	20288
86	200	15	25637	23554	20541
87	200	15	24999	23222	20316
88	200	15	25537	23026	20034
89	200	15	26115	23909	20926
90	200	15	26523	23429	20388
91	200	15	25620	23936	20863
92	200	15	25777	23224	20236
93	200	15	25679	23498	20609
94	200	15	26148	23506	20555
95	200	15	24972	23544	20533
96	200	15	25997	23391	20423
97	200	15	26018	23743	20726
98	200	15	25760	23274	20280
99	200	15	26467	23483	20449
0	500	100	2809775	2657900	2657900
1	500	100	2807478	2654778	2654778
2	500	100	2808230	2663842	2663842
3	500	100	2789171	2651644	2651636
4	500	100	2811954	2674238	2674238
5	500	100	2824780	2649373	2649373
6	500	100	2792218	2644867	2644867
7	500	100	2798676	2647242	2647242
8	500	100	2831573	2647510	2647510
9	500	100	2811167	2645008	2645008
10	500	100	2796208	2664805	2664805
11	500	100	2800053	2653902	2653836
