inst	m	l	greedy	grasp	ag	hibrida
0	200	15	25764	23608	20522	23608
1	200	15	25155	23734	20690	23734
2	200	15	25660	23285	20274	23285
3	200	15	25393	23345	20380	23345
4	200	15	26328	23320	20392	23320
5	200	15	26003	23909	20861	23909
6	200	15	25525	23469	20510	23469
7	200	15	25132	23570	20527	23570
8	200	15	26482	23457	20468	23457
9	200	15	26266	23547	20582	23547
10	200	15	25797	23818	20769	23818
11	200	15	26105	23391	20487	23391
12	200	15	25398	23442	20378	23442
13	200	15	25007	23203	20256	23203
14	200	15	23828	22976	20114	22976
15	200	15	25870	23371	20457	23371
16	200	15	25337	23097	20153	23097
17	200	15	24776	22918	19945	22918
18	200	15	26073	23360	20362	23360
19	200	15	25714	23560	20592	23560
20	200	15	25628	23769	20730	23769
21	200	15	24948	23691	20671	23691
22	200	15	25275	23453	20551	23453
23	200	15	25550	23701	20697	23701
24	200	15	26410	23562	20535	23562
25	200	15	24904	23392	20402	23392
26	200	15	24963	23754	20840	23754
27	200	15	25099	22822	19868	22822
28	200	15	26519	23149	20184	23149
29	200	15	25799	23901	20847	23901
30	200	15	25256	23756	20779	23756
31	200	15	25731	23889	20811	23889
32	200	15	25106	23243	20359	23243
33	200	15	25384	24051	20953	24051
34	200	15	24763	23766	20671	23766
35	200	15	25653	23059	20039	23059
36	200	15	25179	23851	20817	23851
37	200	15	25728	23754	20741	23754
38	200	15	25379	23628	20592	23628
39	200	15	24924	23549	20633	23549
40	200	15	27069	23216	20130	23216
41	200	15	26526	23832	20840	23832
42	200	15	24257	23487	20510	23487
43	200	15	25416	23580	20472	23580
44	200	15	25423	23294	20307	23294
45	200	15	25407	23157	20156	23157
46	200	15	25016	23335	20353	23335
47	200	15	26534	23221	20246	23221
48	200	15	24639	23444	20473	23444
49	200	15	25721	23554	20499	23554
50	200	15	25152	23339	20513	23339
51	200	15	25756	23554	20579	23554
52	200	15	25447	24131	21048	24131
53	200	15	25468	23604	20475	23604
54	200	15	25373	23242	20334	23242
55	200	15	25862	23550	20551	23550
56	200	15	25776	23542	20451	23542
57	200	15	26052	23949	20888	23949
58	200	15	26098	23495	20451	23495
59	200	15	26496	23518	20535	23518
60	200	15	25901	23388	20439	23388
61	200	15	24864	23540	20592	23540
62	200	15	25698	23246	20371	23246
63	200	15	25005	23539	20572	23539
64	200	15	25818	23635	20766	23635
65	200	15	26247	23772	20831	23772
66	200	15	25442	23986	20889	23986
67	200	15	25652	23436	20456	23436
68	200	15	26037	23622	20519	23622
69	200	15	25411	23303	20385	23303
70	200	15	25101	23601	20573	23601
71	200	15	25743	23630	20578	23630
72	200	15	25533	23421	20478	23421
73	200	15	25593	23330	20399	23330
74	200	15	25273	23342	20374	23342
75	200	15	25967	23475	20406	23475
76	200	15	25140	23549	20551	23549
77	200	15	26178	23277	20323	23277
78	200	15	25768	23679	20748	23679
79	200	15	26289	23317	20308	23317
80	200	15	25552	22919	19944	22919
81	200	15	25513	23448	20459	23448
82	200	15	25276	23778	20755	23778
83	200	15	25458	23790	20755	23790
84	200	15	25361	23436	20499	23436
85	200	15	24944	23267	20288	23267
